R2-PINH,159.03,-5.39,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,91.09,49.05,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,154.15,32.05,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,154.18,33.47,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,126.74,34.05,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,74.27,-0.61,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,76.65,3.39,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,38.63,28.55,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,45.97,14.37,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,43.83,14.31,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,39.71,14.41,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,77.21,13.59,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.84,97.45,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.57,96.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,87.79,35.19,180.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.61,97.12,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,78.95,13.57,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.61,97.00,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,157.37,-0.15,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,71.62,-0.91,0.00,,SJ
TP1,11.19,46.61,0.00,TPTP20R,TP20R
TP10,73.92,24.51,0.00,TPTP20R,TP20R
TP11,61.17,-9.57,0.00,TPTP20R,TP20R
TP12,61.17,-4.29,0.00,TPTP20R,TP20R
TP13,78.82,31.01,0.00,TPTP20R,TP20R
TP14,146.87,43.61,0.00,TPTP20R,TP20R
TP15,51.62,34.41,0.00,TPTP20R,TP20R
TP16,70.97,24.51,0.00,TPTP20R,TP20R
TP17,90.32,11.71,0.00,TPTP20R,TP20R
TP2,13.49,46.59,0.00,TPTP20R,TP20R
TP3,137.51,35.92,0.00,TPTP20R,TP20R
TP4,56.73,65.69,0.00,TPTP20R,TP20R
TP5,135.25,4.69,0.00,TPTP20R,TP20R
TP6,1.37,87.69,0.00,TPTP20R,TP20R
TP7,59.89,24.39,0.00,TPTP20R,TP20R
TP8,62.71,24.29,0.00,TPTP20R,TP20R
TP9,61.23,-6.91,0.00,TPTP20R,TP20R
U1,44.64,34.36,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.16,34.00,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,84.00,42.01,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,141.60,37.60,0.00,MAX17048G+T10,SON50P200X200X80-9N
